HomeTeam,AwayTeam,FTHG,FTAG,FTR
Liverpool,Bournemouth,4,2,H
Aston Villa,Newcastle,0,0,D
Brighton,Fulham,1,1,D
Sunderland,West Ham,3,0,H
Tottenham,Burnley,3,0,H
Wolves,Man City,0,4,A
Chelsea,Crystal Palace,0,0,D
Nott'm Forest,Brentford,3,1,H
Man United,Arsenal,0,1,A
Leeds,Everton,1,0,H
West Ham,Chelsea,1,5,A
Man City,Tottenham,0,2,A
Bournemouth,Wolves,1,0,H
Brentford,Aston Villa,1,0,H
Burnley,Sunderland,2,0,H
Arsenal,Leeds,5,0,H
Crystal Palace,Nott'm Forest,1,1,D
Everton,Brighton,2,0,H
Fulham,Man United,1,1,D
Newcastle,Liverpool,2,3,A
Chelsea,Fulham,2,0,H
Man United,Burnley,3,2,H
Sunderland,Brentford,2,1,H
Tottenham,Bournemouth,0,1,A
Wolves,Everton,2,3,A
Leeds,Newcastle,0,0,D
Brighton,Man City,2,1,H
Nott'm Forest,West Ham,0,3,A
Liverpool,Arsenal,1,0,H
Aston Villa,Crystal Palace,0,3,A
Arsenal,Nott'm Forest,3,0,H
Bournemouth,Brighton,2,1,H
Crystal Palace,Sunderland,0,0,D
Everton,Aston Villa,0,0,D
Fulham,Leeds,1,0,H
Newcastle,Wolves,1,0,H
West Ham,Tottenham,0,3,A
Brentford,Chelsea,2,2,D
Burnley,Liverpool,0,1,A
Man City,Man United,3,0,H
Liverpool,Everton,2,1,H
Brighton,Tottenham,2,2,D
Burnley,Nott'm Forest,1,1,D
West Ham,Crystal Palace,1,2,A
Wolves,Leeds,1,3,A
Man United,Chelsea,2,1,H
Fulham,Brentford,3,1,H
Bournemouth,Newcastle,0,0,D
Sunderland,Aston Villa,1,1,D
Arsenal,Man City,1,1,D
Brentford,Man United,3,1,H
Chelsea,Brighton,1,3,A
Crystal Palace,Liverpool,2,1,H
Leeds,Bournemouth,2,2,D
Man City,Burnley,5,1,H
Nott'm Forest,Sunderland,0,1,A
Tottenham,Wolves,1,1,D
Aston Villa,Fulham,3,1,H
Newcastle,Arsenal,1,2,A
Everton,West Ham,1,1,D
Bournemouth,Fulham,3,1,H
Leeds,Tottenham,1,2,A
Arsenal,West Ham,2,0,H
Man United,Sunderland,2,0,H
Chelsea,Liverpool,2,1,H
Aston Villa,Burnley,2,1,H
Everton,Crystal Palace,2,1,H
Newcastle,Nott'm Forest,2,0,H
Wolves,Brighton,1,1,D
Brentford,Man City,0,1,A
Nott'm Forest,Chelsea,0,3,A
Brighton,Newcastle,2,1,H
Burnley,Leeds,2,0,H
Crystal Palace,Bournemouth,3,3,D
